,prompt_11,prompt_13,prompt_20,prompt_5,prompt_11__with_quote_False,prompt_13__with_quote_False,prompt_20__with_quote_False,prompt_5__with_quote_False,url,sent_idx,sentences
0,Introduction,Introduction,Introduction,Background Information,Introduction,Introduction,Introduction,Background Information,/2022/11/03/not-underestimating-cal-is-the-focus-of-wednesdays-practice/,0,"Not underestimating Cal is the focus of Wednesday’s practice

By Drake Lee November 03, 2022 at 2:11 am PDT

With their margin of error for making the playoffs slim, the No."
1,Main Event,Main Event,Main Event,Transition,Introduction,Main Event,Main Event,Background Information,/2022/11/03/not-underestimating-cal-is-the-focus-of-wednesdays-practice/,1,9 USC Trojans are not taking their upcoming matchup against the California Golden Bears for granted.
2,Background Information,Background Information,Background Information,Background Information,Specific Detail,Background Information,Supporting Detail,Background Information,/2022/11/03/not-underestimating-cal-is-the-focus-of-wednesdays-practice/,2,"The Golden Bears are 3-5 overall and 1-4 in the Pac-12, placing them second to last in the Pac-12 standings."
3,Specific Detail,Main Event,Introduction,Specific Detail,Main Event,Main Event,Main Event,Specific Detail,/2022/11/03/not-underestimating-cal-is-the-focus-of-wednesdays-practice/,3,"

One of the main concerns for the Trojans is freshman running back Jaydn Ott."
4,Specific Detail,Detail,Supporting Detail,Specific Detail,Specific Detail,Detail,Supporting Detail,Specific Detail,/2022/11/03/not-underestimating-cal-is-the-focus-of-wednesdays-practice/,4,"One of On3 and the Athletic’s Midseason True Freshman All-Americans, Ott rushes for an average of 5.8 yards per carry and 84.4 yards per game, putting him in fourth place in the Pac-12 for rushing yards per game and sixth place for yards per carry."
5,Quote,Quote,Quote,Quote,Specific Detail,Detail,Analysis,Specific Detail,/2022/11/03/not-underestimating-cal-is-the-focus-of-wednesdays-practice/,5,"

Defensive coordinator Alex Grinch praised Ott’s breakout season. “["
6,Quote,Quote,Quote,Quote,Specific Detail,Detail,Elaboration,Specific Detail,/2022/11/03/not-underestimating-cal-is-the-focus-of-wednesdays-practice/,6,"Ott] flashes on film,” Grinch said. “"
7,Quote,Quote,Quote,Quote,Specific Detail,Detail,Analysis,Specific Detail,/2022/11/03/not-underestimating-cal-is-the-focus-of-wednesdays-practice/,7,Very explosive.
8,Quote,Quote,Quote,Quote,Specific Detail,Gameplay Description,Game Details,Specific Detail,/2022/11/03/not-underestimating-cal-is-the-focus-of-wednesdays-practice/,8,He runs hard and fast and hits home runs from a speed standpoint.”
9,Transition,Quote,Transition,Quote,Transition,Detail,Transition,Transition,/2022/11/03/not-underestimating-cal-is-the-focus-of-wednesdays-practice/,9,"

Aside from Ott, Grinch recognized the potential of the Golden Bears’ offense. “["
10,Quote,Quote,Quote,Quote,Specific Detail,Detail,Supporting Detail,Specific Detail,/2022/11/03/not-underestimating-cal-is-the-focus-of-wednesdays-practice/,10,"Cal] is very multiple on the offensive side between their run game and pass game,” Grinch said. “"
11,Quote,Quote,Quote,Quote,Specific Detail,Detail,Supporting Detail,Specific Detail,/2022/11/03/not-underestimating-cal-is-the-focus-of-wednesdays-practice/,11,"They’ll spread you out, and they have a quarterback with a big arm that made some explosive plays last week against Oregon.”"
12,Specific Detail,Supporting Evidence,Supporting Detail,Specific Detail,Specific Detail,Supporting Evidence,Supporting Detail,Specific Detail,/2022/11/03/not-underestimating-cal-is-the-focus-of-wednesdays-practice/,12,"

The Trojans have allowed over 152.1 rushing yards per game and 4.7 yards per carry."
13,Transition,Quote,Future Outlook,Quote,Transition,Analysis,Future Outlook,Analysis,/2022/11/03/not-underestimating-cal-is-the-focus-of-wednesdays-practice/,13,Grinch recognized that there needs to be some changes going forward for the defense. “
14,Quote,Quote,Quote,Quote,Transition,Analysis,Elaboration,Analysis,/2022/11/03/not-underestimating-cal-is-the-focus-of-wednesdays-practice/,14,"There has to be an honest evaluation of scheme, effort and, of course, execution,” Grinch said. “"
15,Quote,Quote,Analysis,Quote,Reflection,Analysis,Personal Reflection,Analysis,/2022/11/03/not-underestimating-cal-is-the-focus-of-wednesdays-practice/,15,The only reason we can sleep at night and the only reason we won the game against Arizona is that we played hard.
16,Quote,Quote,Conclusion,Quote,Conclusion,Conclusion,Conclusion,Analysis,/2022/11/03/not-underestimating-cal-is-the-focus-of-wednesdays-practice/,16,But we have to play a whole lot better.”
17,Transition,Detail,Transition,Transition,Transition,Transition,Transition,Transition,/2022/11/03/not-underestimating-cal-is-the-focus-of-wednesdays-practice/,17,"

On the other side of the ball, sophomore quarterback Caleb Williams is feeling poised heading into the Saturday matchup at the Los Angeles Memorial Coliseum. “"
18,Quote,Quote,Quote,Quote,Reflection,Detail,Personal Reflection,Specific Detail,/2022/11/03/not-underestimating-cal-is-the-focus-of-wednesdays-practice/,18,"Being able to have a bunch of consecutive starts, it builds a lot of confidence in myself,” Williams said. “"
19,Quote,Quote,Quote,Quote,Reflection,Detail,Personal Reflection,Specific Detail,/2022/11/03/not-underestimating-cal-is-the-focus-of-wednesdays-practice/,19,Being able to be out there with my teammates and be the guy that they see every single time is amazing.”
20,Specific Detail,Detail,Game Details,Specific Detail,Specific Detail,Detail,Game Details,Specific Detail,/2022/11/03/not-underestimating-cal-is-the-focus-of-wednesdays-practice/,20,"

Williams is coming off a game in which he threw for five touchdowns and a career-high 411 yards."
21,Specific Detail,Detail,Key Insights,Specific Detail,Specific Detail,Detail,Key Insights,Specific Detail,/2022/11/03/not-underestimating-cal-is-the-focus-of-wednesdays-practice/,21,"The star quarterback has 24 touchdowns on the season, the most touchdowns in the Pac-12 and the third-most in the nation."
22,Transition,Transition,Transition,Transition,Counterpoint,Counterpoint,Counterpoint,Transition,/2022/11/03/not-underestimating-cal-is-the-focus-of-wednesdays-practice/,22,"

Still, he offered nothing but praise for the Golden Bears’ defense. “["
23,Quote,Quote,Quote,Quote,Specific Detail,Detail,Supporting Detail,Specific Detail,/2022/11/03/not-underestimating-cal-is-the-focus-of-wednesdays-practice/,23,"The Golden Bears] have got a pretty good linebacker in [Jackson] Sirmon,” Williams said. “"
24,Quote,Quote,Quote,Quote,Specific Detail,Detail,Supporting Detail,Specific Detail,/2022/11/03/not-underestimating-cal-is-the-focus-of-wednesdays-practice/,24,"He’s played a lot of ball, he’s smart and he has good instincts."
25,Quote,Quote,Quote,Quote,Specific Detail,Detail,Supporting Detail,Specific Detail,/2022/11/03/not-underestimating-cal-is-the-focus-of-wednesdays-practice/,25,"The secondary does a pretty good job, and they’ve got a few guys at cornerback that are very tall."
26,Quote,Quote,Quote,Quote,Specific Detail,Detail,Supporting Detail,Specific Detail,/2022/11/03/not-underestimating-cal-is-the-focus-of-wednesdays-practice/,26,And their safeties have done a pretty good job throughout the season.”
27,Specific Detail,Supporting Evidence,Supporting Detail,Specific Detail,Specific Detail,Supporting Evidence,Supporting Detail,Specific Detail,/2022/11/03/not-underestimating-cal-is-the-focus-of-wednesdays-practice/,27,"

The Golden Bears rank 126th in the country and last in the Pac-12 in passing yards allowed with 292.3 yards allowed through the air per game."
28,Specific Detail,Supporting Evidence,Supporting Detail,Specific Detail,Specific Detail,Detail,Supporting Detail,Specific Detail,/2022/11/03/not-underestimating-cal-is-the-focus-of-wednesdays-practice/,28,"Last week, they allowed 412 passing yards to Oregon."
29,Specific Detail,Conclusion,Main Event,Transition,Specific Detail,Detail,Supporting Detail,Transition,/2022/11/03/not-underestimating-cal-is-the-focus-of-wednesdays-practice/,29,"

Morale was high throughout USC’s practice as the team prepared for its homecoming game on Saturday. “"
30,Quote,Quote,Quote,Quote,Future Outlook,Detail,Future Outlook,Specific Detail,/2022/11/03/not-underestimating-cal-is-the-focus-of-wednesdays-practice/,30,"It’s going to be a good matchup to see how our wide receivers match up against [Cal’s] secondary defense,” Williams said."
31,Introduction,Introduction,Introduction,Background Information,Introduction,Introduction,Introduction,Background Information,/2023/02/15/rhode-island-school-of-design-omits-itself-from-us-news-world-report-rankings/,0,"Rhode Island School of Design omits itself from U.S News & World Report Rankings

The reasonings have to do with exclusivity and inequity."
32,Introduction,Main Event,Meta Information,Background Information,Introduction,Introduction,Meta Information,Background Information,/2023/02/15/rhode-island-school-of-design-omits-itself-from-us-news-world-report-rankings/,1,"

By Narayan Pereda, Veronica Garza and Isa Johnson
February 15, 2023 at 6:17 pm PST

The Rhode Island School of Design announced on Monday that it will withdraw from U.S News and World Report’s undergraduate rankings."
33,Transition,Transition,Background Information,Background Information,Transition,Background Information,Background Information,Transition,/2023/02/15/rhode-island-school-of-design-omits-itself-from-us-news-world-report-rankings/,2,The school’s decision comes amidst a slew of withdrawals from law and medical schools.
34,Main Event,Main Event,Main Event,Specific Detail,Main Event,Main Event,Main Event,Specific Detail,/2023/02/15/rhode-island-school-of-design-omits-itself-from-us-news-world-report-rankings/,3,RISD cited U.S. News’ inability to assess how its students learn as the basis for its change in participation.
35,Background Information,Background Information,Background Information,Background Information,Background Information,Background Information,Background Information,Specific Detail,/2023/02/15/rhode-island-school-of-design-omits-itself-from-us-news-world-report-rankings/,4,"

The University of Southern California Rossier school of Education recently came under hot water for reporting incorrect data and has since dropped out of the graduate school rankings."
36,Specific Detail,Supporting Evidence,Supporting Detail,Specific Detail,Specific Detail,Supporting Evidence,Supporting Detail,Specific Detail,/2023/02/15/rhode-island-school-of-design-omits-itself-from-us-news-world-report-rankings/,5,Currently USC undergraduate school ranks 25th on U.S News and World Report’s National Universities list.
37,Transition,Analysis,Analysis,Analysis,Transition,Analysis,Introduction,Analysis,/2023/02/15/rhode-island-school-of-design-omits-itself-from-us-news-world-report-rankings/,6,The school’s reputation has raised questions of how much students factor in prestige when applying to the school.
38,Quote,Quote,Quote,Quote,Specific Detail,Detail,Supporting Detail,Specific Detail,/2023/02/15/rhode-island-school-of-design-omits-itself-from-us-news-world-report-rankings/,7,"

When talking to Sneha, they cited USC’s prestige as a factor when applying."
39,Quote,Quote,Quote,Quote,Reflection,Detail,Personal Reflection,Specific Detail,/2023/02/15/rhode-island-school-of-design-omits-itself-from-us-news-world-report-rankings/,8,"Sneha: I just felt like unless I was going to a highly ranked college, like, I might as well just stay in-state and go to my state college."
40,Counterpoint,Counterpoint,Contrast,Transition,Counterpoint,Counterpoint,Counterpoint,Transition,/2023/02/15/rhode-island-school-of-design-omits-itself-from-us-news-world-report-rankings/,9,"

Though many high school students do factor in a school’s prestige when applying this is not a belief that is held by all students."
41,Counterpoint,Counterpoint,Counterpoint,Analysis,Counterpoint,Counterpoint,Counterpoint,Analysis,/2023/02/15/rhode-island-school-of-design-omits-itself-from-us-news-world-report-rankings/,10,Ruby believes that prestige should not be the most important factor when students apply to university.
42,Quote,Quote,Quote,Quote,Counterpoint,Detail,Personal Reflection,Specific Detail,/2023/02/15/rhode-island-school-of-design-omits-itself-from-us-news-world-report-rankings/,11,"Ruby: I’m actually a third generation USC student, so that’s been in my family for a long time and there was no pressure for me to go to USC at all."
43,Quote,Quote,Personal Reflection,Quote,Counterpoint,Counterpoint,Personal Reflection,Specific Detail,/2023/02/15/rhode-island-school-of-design-omits-itself-from-us-news-world-report-rankings/,12,But I already kind of knew about the university beforehand and I didn’t necessarily look too much at the rankings while I was applying to schools.
44,Specific Detail,Supporting Evidence,Elaboration,Quote,Counterpoint,Analysis,Elaboration,Specific Detail,/2023/02/15/rhode-island-school-of-design-omits-itself-from-us-news-world-report-rankings/,13,"

Ruby also spoke on the ranking systems inability to assess the strength of a school’s different programs."
45,Quote,Quote,Quote,Quote,Counterpoint,Counterpoint,Counterpoint,Analysis,/2023/02/15/rhode-island-school-of-design-omits-itself-from-us-news-world-report-rankings/,14,"Ruby: If you’re looking at some of those more specific types of majors, you should look at the schools that are best for you and not just the ones that the news tells you are the best to go to."
46,Counterpoint,Counterpoint,Counterpoint,Background Information,Counterpoint,Counterpoint,Counterpoint,Analysis,/2023/02/15/rhode-island-school-of-design-omits-itself-from-us-news-world-report-rankings/,15,"

Critics of U.S News have also pointed out the rankings’ biases."
47,Quote,Quote,Quote,Quote,Counterpoint,Supporting Evidence,Counterpoint,Analysis,/2023/02/15/rhode-island-school-of-design-omits-itself-from-us-news-world-report-rankings/,16,"Crystal Williams, the president of RISD is quoted saying that, “Many of those criteria have been written about in critical terms and publicly questioned, and are unambiguously biased in favor of wealth, privilege and opportunities that are inequitably distributed,” Williams said."
48,Conclusion,Conclusion,Meta Information,Transition,Conclusion,Conclusion,Meta Information,Transition,/2023/02/15/rhode-island-school-of-design-omits-itself-from-us-news-world-report-rankings/,17,"

For Annenberg Media, I’m Narayan Pereda."
49,Introduction,Introduction,Introduction,Background Information,Introduction,Introduction,Introduction,Transition,/2023/02/23/a-safe-space-for-coffee-house-creatives/,0,"A safe space for coffee house creatives

Hilltop Coffee + Kitchen opens another location."
50,Introduction,Introduction,Meta Information,Background Information,Introduction,Introduction,Meta Information,Background Information,/2023/02/23/a-safe-space-for-coffee-house-creatives/,1,"

Hilltop Coffee + Kitchen's pop up location on 718 S. Hill St. (Photo courtesy of Ed Rudolph)

By Siara Carpenter and Marco Ramirez
February 23, 2023 at 3:37 pm PST

Hilltop Coffee + Kitchen, made famous by actress Issa Rae’s partnership and flagship store in Inglewood, recently announced a pop up cafe in Downtown Los Angeles."
51,Background Information,Background Information,Background Information,Background Information,Background Information,Background Information,Background Information,Background Information,/2023/02/23/a-safe-space-for-coffee-house-creatives/,2,Co-founders Yonnie Hagos and Ajay Relan created Hilltop Coffee + Kitchen in the summer of 2018 as a way to bring new energy to an area of predominantly mom-and-pop shops and fast food.
52,Specific Detail,Quote,Quote,Quote,Specific Detail,Background Information,Supporting Detail,Specific Detail,/2023/02/23/a-safe-space-for-coffee-house-creatives/,3,"Their Slauson location served as a community-oriented space where locals were hired and taught “leadership and entrepreneurship through entry-level employment,” Relan said."
53,Background Information,Background Information,Supporting Detail,Background Information,Background Information,Background Information,Supporting Detail,Background Information,/2023/02/23/a-safe-space-for-coffee-house-creatives/,4,"

Having a Black- and people-of-color-owned business in a predominantly POC area allowed Hilltop Coffee + Kitchen to quickly become a place for local creators, entrepreneurs, and organizers to connect with each other."
54,Transition,Detail,Supporting Detail,Analysis,Transition,Detail,Elaboration,Analysis,/2023/02/23/a-safe-space-for-coffee-house-creatives/,5,The co-founders understood this purpose.
55,Specific Detail,Quote,Supporting Detail,Quote,Specific Detail,Background Information,Supporting Detail,Background Information,/2023/02/23/a-safe-space-for-coffee-house-creatives/,6,"They made sure “every design, detail, and menu item was reflective of the community that had lived through there for the past few decades, while also understanding that the demographics of the neighborhoods were changing.”"
56,Background Information,Background Information,Supporting Detail,Analysis,Background Information,Detail,Analysis,Analysis,/2023/02/23/a-safe-space-for-coffee-house-creatives/,7,"

The success of Hilltop Coffee + Kitchen comes not only from Hagos and Relan’s background in restaurant management but also from their friendship."
57,Background Information,Background Information,Background Information,Background Information,Background Information,Background Information,Background Information,Specific Detail,/2023/02/23/a-safe-space-for-coffee-house-creatives/,8,"The two met when Hagos was a security guard at The Parlor, a sports bar in Hollywood that Relan frequented."
58,Background Information,Background Information,Background Information,Background Information,Specific Detail,Background Information,Supporting Detail,Specific Detail,/2023/02/23/a-safe-space-for-coffee-house-creatives/,9,"The two became friends and eventually bought The Parlor in 2013, creating a culture and brand identity as one of Hollywood’s hotspots."
59,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition,/2023/02/23/a-safe-space-for-coffee-house-creatives/,10,"Although The Parlor was closed in February 2022, Hagos and Relan’s mission did not end there."
60,Specific Detail,Supporting Evidence,Supporting Detail,Specific Detail,Specific Detail,Detail,Supporting Detail,Specific Detail,/2023/02/23/a-safe-space-for-coffee-house-creatives/,11,"

Their partnership with SoLa Contemporary allows local artists to show their work at their restaurants to reflect the community around them."
61,Reflection,Detail,Supporting Detail,Specific Detail,Reflection,Detail,Supporting Detail,Background Information,/2023/02/23/a-safe-space-for-coffee-house-creatives/,12,"As the art travels from their original Slauson location to the rest of L.A., there is a pride in representing L.A. as it is home for Hagos, Relan, and Rae. “"
62,Quote,Quote,Quote,Quote,Background Information,Detail,Supporting Detail,Background Information,/2023/02/23/a-safe-space-for-coffee-house-creatives/,13,This area is one of the most culturally rich in the country.
63,Quote,Quote,Quote,Quote,Reflection,Supporting Evidence,Personal Reflection,Background Information,/2023/02/23/a-safe-space-for-coffee-house-creatives/,14,"So we just wanted to intentionally put our roots down there,” said Relan. “"
64,Quote,Quote,Quote,Quote,Reflection,Detail,Supporting Detail,Analysis,/2023/02/23/a-safe-space-for-coffee-house-creatives/,15,"And it’s amazing to see the reception that we’ve been able to get and the support that we’ve been able to get, not just from the local communities that we’re in, but we’ve really become a destination for people across the city.”"
65,Specific Detail,Detail,Supporting Detail,Specific Detail,Specific Detail,Detail,Supporting Detail,Specific Detail,/2023/02/23/a-safe-space-for-coffee-house-creatives/,16,"

Many USC students frequent the Inglewood location of Hilltop Coffee + Kitchen."
66,Specific Detail,Detail,Supporting Detail,Specific Detail,Specific Detail,Detail,Supporting Detail,Specific Detail,/2023/02/23/a-safe-space-for-coffee-house-creatives/,17,"The cultural richness and design plan is evident to graduate student David-Earl Russell, who remarked that he frequented the shop for “the vibe.” “"
67,Quote,Quote,Quote,Quote,Reflection,Detail,Personal Reflection,Specific Detail,/2023/02/23/a-safe-space-for-coffee-house-creatives/,18,"You don’t want to be somewhere where you are not comfortable ... The music and what they might have there to eat are tailored to your culture, so it’s not just [going] to a space where you don’t feel comfortable or you’re not represented,” said Russell."
68,Quote,Quote,Quote,Quote,Counterpoint,Counterpoint,Counterpoint,Analysis,/2023/02/23/a-safe-space-for-coffee-house-creatives/,19,"

Russell called for attention on Black businesses, even when it is not Black History Month, commenting, “I think [the expansion is] great because a lot of Black-owned businesses don’t really see that much attention unless it’s during this month."
69,Future Outlook,Future Speculation,Future Outlook,Quote,Future Outlook,Future Speculation,Future Outlook,Analysis,/2023/02/23/a-safe-space-for-coffee-house-creatives/,20,"And hopefully, this energy can continue on beyond just this time.”"
70,Quote,Quote,Quote,Quote,Background Information,Supporting Evidence,Personal Reflection,Background Information,/2023/02/23/a-safe-space-for-coffee-house-creatives/,21,"

Rae stated in the second Hilltop press release that she has personally written her work in coffee shops, so it always disappointed her that there weren’t any that were Black-owned or even POC-owned coffee shops in her neighborhood."
71,Background Information,Supporting Evidence,Supporting Detail,Analysis,Background Information,Analysis,Supporting Detail,Analysis,/2023/02/23/a-safe-space-for-coffee-house-creatives/,22,Black-owned coffee shops and safe spaces are especially useful for students.
72,Background Information,Detail,Background Information,Background Information,Specific Detail,Detail,Background Information,Specific Detail,/2023/02/23/a-safe-space-for-coffee-house-creatives/,23,"Sammy Austin, a senior from Georgia, had never been to a Black-owned coffee shop before Hilltop Coffee + Kitchen."
73,Specific Detail,Detail,Background Information,Background Information,Specific Detail,Detail,Background Information,Specific Detail,/2023/02/23/a-safe-space-for-coffee-house-creatives/,24,"Austin is the president of Kó Society, a social club for Black women on campus."
74,Specific Detail,Detail,Personal Reflection,Specific Detail,Specific Detail,Detail,Personal Reflection,Specific Detail,/2023/02/23/a-safe-space-for-coffee-house-creatives/,25,"Kó Society held a study session at the Inglewood location during finals season, and the atmosphere blew Austin away."
75,Quote,Quote,Quote,Quote,Reflection,Detail,Personal Reflection,Specific Detail,/2023/02/23/a-safe-space-for-coffee-house-creatives/,26,"

“It was really neat to walk into a space where everyone else looks like you and no one’s really judging you."
76,Quote,Quote,Quote,Quote,Reflection,Detail,Personal Reflection,Specific Detail,/2023/02/23/a-safe-space-for-coffee-house-creatives/,27,"Everyone was very welcoming and friendly,” Austin said. “"
77,Reflection,Detail,Personal Reflection,Quote,Reflection,Detail,Personal Reflection,Specific Detail,/2023/02/23/a-safe-space-for-coffee-house-creatives/,28,"When we walked in, some of us ordered food, some didn’t, but it wasn’t like we got bad looks or glares because we weren’t spending money."
78,Reflection,Quote,Personal Reflection,Quote,Reflection,Detail,Personal Reflection,Specific Detail,/2023/02/23/a-safe-space-for-coffee-house-creatives/,29,It was kind of just normal that we were sitting down to do our work.”
79,Counterpoint,Counterpoint,Counterpoint,Analysis,Reflection,Counterpoint,Counterpoint,Analysis,/2023/02/23/a-safe-space-for-coffee-house-creatives/,30,"

Ko Society’s time there was to support Black-owned businesses, but Austin is happy about the media’s push of Black-owned businesses, calling it a “step forward in representation.”"
